song,artist,youtube_id,AI_Keywords
體面,于文文,iISxA_7_g5Y,"前任3：再見前任 電影原聲帶, The Ex-File 3: The Return of the Exes Original Soundtrack, 2017, 2010年代, 2010s, 中國大陸, 華語流行, Mandopop, 流行抒情, Pop Ballad, 撕心裂肺, Emotional Vocals, 鋼琴伴奏, Piano, 弦樂編曲, String Ensemble, 療癒, Healing, 失戀, Heartbreak, 情感釋放, Catharsis, 經典, Classic, 別再來受罪, 分手應該體面"
怎麼了,周興哲,moAF8yJ9y60,"終於了解, What's Wrong, 2019, 2010年代, 2010s, 台灣, Taiwan, 華語流行, Mandopop, 周氏情歌, Eric Chou Style, 流行抒情, Pop Ballad, 鋼琴流行, Piano Pop, 磁性嗓音, Husky Vocals, 真假音轉換, Falsetto, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒, Healing, 浪漫, Romantic, 經典, Classic, 婚禮歌單, Wedding, 約會, Dating, 咖啡廳, Cafe, 你說藍色是你最愛的顏色, 怎麼了你說那是誰的錯"
白月光與硃砂痣,大籽,TuEaYHA-JG0,"白月光與硃砂痣, White Moonlight and Cinnabar Mole, 2021, 2020年代, 2020s, China, 華語流行, Mandopop, 大籽風格, Da Zi Style, 流行抒情, Pop Ballad, 現代流行, Contemporary Pop, 柔和嗓音, Mellow Vocals, 清亮高音, Bright Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 流行節奏, Groove, 浪漫氛圍, Romantic, 情感抒發, Emotional, 療癒系, Healing, 婚禮歌單, Wedding, 約會, Dating, 咖啡廳, Cafe, 從前夢想的一對, 白月光在照耀"
從前說,小阿七,tcX7wu8nNyg,"從前說, Cong Qian Shuo, 2022, 2020年代, 2020s, 中國, 華語流行, Mandopop, 流行抒情, Pop Ballad, 敘事風格, Narrative Songwriting, 質感嗓音, Texture Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒, Healing, 浪漫, Romantic, 懷舊感, Nostalgia, 約會, Dating, 咖啡廳, Cafe, 經典, Classic, 故事感, Storytelling, 誰還記得是誰先說永遠的愛我, 記得當初那些為了愛瘋狂的執著"
光年之外,鄧紫棋,4l64raUvS4E,"新的心跳, Heartbeat, 2016, 2010年代, 2010s, 中國, 華語流行, Mandopop, 流行抒情, Pop Ballad, 史詩流行, Epic Pop, 強力抒情, Power Ballad, 爆發力嗓音, Powerful Vocals, 戲劇張力, Dramatic, 鋼琴基底, Piano, 宏大編曲, Orchestral, 電影主題曲, Soundtrack, 電影乘客, Movie OST, 浪漫, Romantic, 史詩感, Epic, 經典, Classic, 我看著天邊似在眼前, 我和你手牽手漫步荒野"
飛鳥和蟬,任然,T4S-vNWdhSc,"飛鳥和蟬, The Bird and The Cicada, 2020, 2020年代, 2020s, China, 華語流行, Mandopop, 流行抒情, Pop Ballad, 情感敘事, Narrative, 清澈嗓音, Clean Vocals, 氣聲唱法, Airy Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒系, Healing, 浪漫, Romantic, 約會, Dating, 咖啡廳, Cafe, 經典, Classic, 這一生原本一個人你堅持廝守成我們, 飛鳥和蟬怎麼會遇見"
學貓叫,"小潘潘, 小峰峰",4Gl7fSUrN3o,"學貓叫, Meow Meow, 2018, 2010年代, 2010s, 中國大陸, Mainland China, 華語流行, Mandopop, 流行舞曲, Dance-Pop, 合成器流行, Synth-pop, 俏皮唱腔, Playful Vocals, 高音調處理, Pitch Shift, 電子節拍, Electronic Beat, 數位合成器, Digital Synthesizer, 浪漫, Romantic, 甜蜜, Sweet, 節日派對, Party, 流行熱門, Trending, 網路金曲, Viral Hit, 我們一起學貓叫一起喵喵喵喵喵, 我們一起學貓叫一起喵喵喵喵喵"
小城夏天,LBI利比,aI0oQQ1FfmQ,"小城夏天, Little Town Summer, 2022, 2020年代, 2020s, 中國, 華語流行, Mandopop, 流行音樂, Pop, 現代流行, Contemporary Pop, 節奏感, Groove, 電子合成器, Synthesizer, 鼓組編曲, Drum Programming, 甜美嗓音, Sweet Vocals, 明亮音色, Bright Timbre, 浪漫氛圍, Romantic, 婚禮, Wedding, 約會, Dating, 戶外場景, Outdoor, 流行熱門, Viral Hit, 青春感, Youthful, 關於小城夏天的記憶, 好像突然之間夏天就這樣出現"
熱愛105°C的你,阿肆,05RV-cNroP4,超級愛，Super Love，2019，2010年代，2010s，中國，華語流行，Mandopop，阿肆風格，A Si Style，流行電子，Electropop，合成器流行，Synth-pop，甜美嗓音，Sweet Vocals，節奏感，Groovy，輕快節奏，Upbeat，電子琴，Synthesizer，數位鼓機，Drum Machine，流行舞曲，Dance Pop，廣告歌曲，Commercial Song，浪漫，Romantic，甜蜜，Sweet，約會，Dating，咖啡廳，Cafe，心情愉悅，Cheerful，熱愛105°C的你，在這炎炎的夏日，這感覺更強烈
那女孩對我說,梁文音,hPm7XAqR4No,"愛的詩篇, Love Poem, 2008, 2000年代, 2000s, Taiwan, 華語流行, Mandopop, 流行抒情, Pop Ballad, 情感充沛, Emotive Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 療癒, Healing, 浪漫, Romantic, 經典, Classic, 婚禮歌單, Wedding, 約會, Dating, 咖啡廳, Cafe, 那女孩對我說說我保護她的夢, 那女孩對我說說我保護她的夢"
