song,artist,youtube_id,AI_Keywords,
體面,于文文,iISxA_7_g5Y,"[0.82, 0.35, 0.78, 0.35], 前任3 再見前任電影原聲帶, 電影原聲帶, OST, 2017, 2010年代, 2010s, 中國, China, 前任3-再見前任, The Ex-File 3-The Return of the Exes, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 傷感釋懷, Sadness and Relief, 失戀療傷, Heartbreak Healing, 華語流行, Mandopop, 電影原聲帶, Soundtrack, 別堆砌懷念讓劇情 變得狗血, 分手應該體面 誰都不要說抱歉",
怎麼了,周興哲,moAF8yJ9y60,"[0.82, 0.35, 0.78, 0.35], 終於了解自由, 2019, 2010年代, 2010s, 台灣, Taiwan, 必勝練習生, Love at Seventeen, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 失戀療傷, Heartbreak Healing, 華語流行, Mandopop, 周氏情歌, Eric Chou Style, 你說藍色是你最愛的顏色, 怎麼能輕易說要結束",
白月光與硃砂痣,大籽,TuEaYHA-JG0,"[0.82, 0.35, 0.55, 0.35], 2021, 2020年代, 2020s, 中國, China, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 合成器, Synthesizer, 情感糾葛, Emotional Entanglement, 獨處時光, Solitude, 網紅歌曲, Internet Viral Song, 華語流行, Mandopop, 從前的歌謠都在指尖繞, 白月光在照耀你才想起她的好",
從前說,小阿七,tcX7wu8nNyg,"[0.82, 0.35, 0.78, 0.35], 2021, 2020年代, 2020s, 中國, China, 磁性嗓音, Magnetic Voice, 鋼琴, Piano, 傷感釋懷, Sadness and Relief, 失戀療傷, Healing from Heartbreak, 網紅歌曲, Internet Viral Song, 從前對媽媽說謊, 從前說無懼山海",
光年之外,鄧紫棋,4l64raUvS4E,"[0.82, 0.35, 0.55, 0.65], I AM GLORIA, 2016, 2010年代, 2010s, 中國, China, 星際過客, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 壯闊深情, Grand Affection, 極致執著, Extreme Persistence, 璀璨星空, Starry Sky, 獨處時光, Solitude, 電影原聲帶, Soundtrack, Passengers, 感受停在我髮端的指尖",
飛鳥和蟬,任然,T4S-vNWdhSc,"[0.82, 0.35, 0.78, 0.35], Ren然, 2020, 2020年代, 2020s, 中國, China, 清亮人聲, Clear Vocals, 鋼琴, Piano, 傷感釋懷, Sadness and Relief, 失戀療傷, Breakup Healing, 華語流行, Mandopop, 網紅歌曲, Viral Pop, 你說青澀最搭初戀, 你驕傲的飛遠 我棲息的夏天",
學貓叫,"小潘潘, 小峰峰",4Gl7fSUrN3o,"[0.45, 0.45, 0.55, 0.35], 下一任前任電影原聲大碟, 電影原聲帶, OST, 2018, 2010年代, 2010s, 中國, China, 甜美嗓音, Sweet Vocals, 合成器, Synthesizer, 甜蜜愉悅, Sweet Joy, 約會, Dating, 網紅歌曲, Internet Viral Song, 一起喵喵喵喵喵, 我們一起學貓叫",
小城夏天,LBI利比,aI0oQQ1FfmQ,"[0.45, 0.45, 0.78, 0.35], 2022, 2020年代, 2020s, 中國, China, 甜美嗓音, Sweet Vocals, 合成器, Synthesizer, 甜蜜愉悅, Sweet Joy, 約會, Dating, 夏日陽光, Summer Sunshine, 網紅歌曲, Internet Hit, 橘黃色的日落吞沒在海平線, 我在小城夏天陪你遇見浪漫",
熱愛105°C的你,阿肆,05RV-cNroP4,"[0.45, 0.45, 0.55, 0.35], 2019, 2010年代, 2010s, 中國, China, 甜美嗓音, Sweet Vocals, 合成器, Synthesizer, 甜蜜愉悅, Sweet Joy, 勵志成長, Inspirational Growth, 夏日陽光, Summer Sunshine, 網紅歌曲, Viral Song, 華語流行, Mandopop, Super idol 的笑容 都沒你的甜, 八月正午的陽光 都沒你耀眼",
那女孩對我說,梁文音,hPm7XAqR4No,"[0.82, 0.35, 0.78, 0.35], #2019還在聽, 2009, 2000年代, 2000s, 台灣, Taiwan, 華語流行, Mandopop, 清亮人聲, Clear Vocals, 鋼琴, Piano, 弦樂, Strings, 孤獨寂寞, Loneliness, 情感糾葛, Emotional Entanglement, 極致執著, Extreme Obsession, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 心很空 天很大 雲很重, 那女孩對我說 說我保護她的夢",
追光者,岑寧兒,I8dndJzijxw,"[0.82, 0.35, 0.55, 0.35], 夏至未至電視劇原聲帶, 電影原聲帶, OST, 2017, 2010年代, 2010s, 台灣, Taiwan, 夏至未至, Rush to the Dead Summer, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 弦樂, Strings, 極致執著, Extreme Persistence, 獨處時光, Solitude, 華語流行, Mandopop, 電影原聲帶, Soundtrack, 如果說你是海上的煙火, 我可以跟在你身後",
刻在我心底的名字,盧廣仲,BWQYUPsVv5M,"[0.82, 0.35, 0.78, 0.35], 刻在你心底的名字電影原聲帶, 電影原聲帶, OST, 2020, 2020年代, 2020s, 台灣, Taiwan, 刻在你心底的名字, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 弦樂, Strings, 壯闊深情, Grand Affection, 極致執著, Extreme Persistence, 獨處時光, Solitude, 失戀療傷, Heartbreak Healing, 電影原聲帶, Soundtrack, Oublie-le 好幾次我告訴我自己, 刻在我心底的名字 忘記了時間這回事",
修煉愛情,林俊傑,-oaaajR-Zt0,"[0.82, 0.35, 0.78, 0.65], 因你 而在, 2013, 2010年代, 2010s, 台灣, Taiwan, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 弦樂, Strings, 傷感釋懷, Melancholic Relief, 情感糾葛, Emotional Entanglement, 極致執著, Extreme Persistence, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 華語流行, Mandopop, 憑什麼要失望藏眼淚到心臟, 修煉愛情的悲歡我們這些努力不簡單",
你的酒館對我打了烊,陳雪凝,dR-UxehZtHs,"[0.82, 0.35, 0.78, 0.35], 2019, 2010年代, 2010s, 中國, China, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 孤獨寂寞, Loneliness, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 網紅歌曲, Internet Hit, 華語流行, Mandopop, 你出現 就沉醉了時間, 可是你 卻不曾施捨二兩",
天黑請閉眼,"陳零九, 邱鋒澤",7m45vNADcm8,"[0.45, 0.45, 0.55, 0.35], 過, 2019, 2010年代, 2010s, 台灣, Taiwan, 娛樂百分百, 100% Entertainment, 氣聲人聲, Breathy Vocals, 合成器, Synthesizer, 懸疑博弈, Suspenseful Gambling, 獨處時光, Solitude, 電子流行, Electronic Pop, 確認身份 別恍神 這遊戲 無法天真, 天黑請閉眼 我在你身邊 卻測不出妳雪藏的那面",
綠色,陳雪凝,3vMjN6bJG-w,"[0.82, 0.35, 0.78, 0.35], 2019, 2010年代, 2010s, 中國, China, 甜美嗓音, Sweet Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 孤獨寂寞, Loneliness, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 網紅歌曲, Internet Hit, 華語流行, Mandopop, 若不是你突然闖進我生活, 愛我的話你都說 愛我的事你不做",
